,Entity A,Entity B,PolBMA_Seco2004,PolBMA_Resnik1995,PolGIC_Resnik1995,PolGIC_Seco2004
122,P37023,P17813,0.48015155861900244,0.3469887468494475,0.3234550306663603,0.3245043976059391
123,P37023,P37173,0.5483819050477656,0.39867388577594937,0.3218648302132907,0.3239549360855944
124,P37023,Q13547,0.3636469789027913,0.24001542154016897,0.315212907625067,0.3139571045419701
125,P37173,P36897,0.5805864769259084,0.4272997973248943,0.3323867918066512,0.3344270088109012
126,P37173,P37173,0.8612591765090266,0.6640571474376302,0.3877880856390766,0.3953716144942123
127,P37173,P98082,0.3837131372383461,0.25189182637967733,0.3122050958367653,0.31040302509956796
128,P37173,Q03167,0.551357847099085,0.4106830996988843,0.3218653793836478,0.3213198286394664
129,P37840,P05067,0.5254899377852289,0.33848550841222746,0.15537228847111376,0.1753517976483734
130,P37840,P37840,0.832562166283604,0.6149549785113684,0.7918941867511626,0.8140305017639257
131,P37840,Q99497,0.5341693930264098,0.36708167703754147,0.11575596292360353,0.13157332636174446
132,P42704,Q9UBK9,0.5096847659314743,0.28042695961618447,0.3129490439348192,0.31630104705816875
133,P42704,Q9Y5Z4,0.33240476740696234,0.1522241807835123,0.024122161016526963,0.038857641248080235
134,P43490,P43490,0.8319805931083322,0.5717788615676974,0.8399316572578073,0.8643824513833895
135,P46013,Q8TEY7,0.2794464589189651,0.1210675660894238,0.0009552688420250842,0.0020156211274966365
136,P48059,Q92800,0.26095270133111115,0.1525268871961774,0.004170807814524171,0.005477170379959595
137,P49448,O75674,0.16072698889084752,0.09096960815933015,0.011117092674178555,0.013285285357543579
138,P49662,P29466,0.6181614654017686,0.4214121824703285,0.45704461248397943,0.45492756643654075
139,P49736,P25205,0.6836373599994618,0.44675029348595874,0.016625887785255568,0.021704645372068457
140,P49736,P33993,0.6539617953694254,0.44163883708213664,0.3405653096414662,0.34344590315749685
141,P49768,Q8TEU7,0.3706958720950642,0.19501396143515054,0.004253034970528811,0.006360464514288816
142,P49792,P36897,0.28781940741847656,0.17762844871804412,0.31092715690622896,0.30858718120470674
143,P50750,Q04206,0.4326388792924873,0.28286650107832956,0.016706471535734898,0.0224007989510906
144,P51531,P24928,0.33885227798805473,0.19326101622675307,0.00431219052263367,0.006649571549775242
145,P51587,P04049,0.3909176802537866,0.23744824003232795,0.009201874789066389,0.012692855050146994
146,P51587,Q9NUX5,0.43427430118843835,0.29365840140459765,0.010767515075211653,0.013691700263459127
147,P52298,Q09161,0.7494119798120882,0.5483575791822171,0.29390687324725706,0.29860678018574177
148,P52735,P00750,0.304956410436161,0.1931206504492236,0.32063874740012516,0.31915609076307877
149,P53675,O15078,0.34174041282981454,0.17682426954949668,0.003644822397034764,0.005299167442187892
150,P53675,P49662,0.258933815061202,0.12207850427257214,0.0014288712729066033,0.0026488604918384244
151,P53675,Q13510,0.2719581339960322,0.13660611707099676,0.001910134742484261,0.0030963321321056227
152,P55010,O75821,0.5264738692787001,0.28856935992564403,0.30045282263003,0.29838235965556614
153,P55010,P20042,0.5638154093113135,0.3476753017727498,0.3031578669283245,0.29837556912679175
154,P60842,Q02880,0.3800563265451565,0.19170203156574206,0.08398050862939763,0.12624515208031636
155,P60842,Q13976,0.3165939859330943,0.14510273982244942,0.01895066129452315,0.03717449137958164
156,P61225,Q9Y4G8,0.4050612887366493,0.22796084094645624,0.009054968419704098,0.012591158421113637
157,P61812,P01137,0.5763735726338672,0.42816885321285547,0.3215740521451951,0.3244734639151912
158,P61812,P37173,0.5247278700728435,0.39167510336327505,0.3182230382051828,0.3180591863663266
159,P61812,Q03167,0.49237511637698694,0.364402761943344,0.3146435619442589,0.3136131414447834
160,P62820,Q9NPD3,0.2972309481318036,0.17343055215768444,0.31460579153252893,0.3126584290538121
161,P62826,P00519,0.3919375678643694,0.2324610943337936,0.3018999006609218,0.3013137341376801
162,P62826,P04049,0.3576083963921205,0.19510156209417637,0.31762661039537055,0.3173408583185539
163,P62826,P49792,0.4707052118552191,0.28704861493052425,0.32641722488415004,0.3266091442410023
164,P62834,Q8TEU7,0.46912590930364384,0.2535192077757475,0.1027013611380646,0.1214254535161563
165,P62942,P36897,0.3916806341246375,0.279790550817661,0.31439882547149073,0.3121307520760662
166,P63027,Q99623,0.37615081840751347,0.22719077412356664,0.008695920873213773,0.01104738688425119
167,P63241,P10909,0.3914021081720246,0.2186877182424335,0.03748856291192219,0.048398315947182996
168,P63241,P49736,0.31964227619358543,0.17087215246207071,0.002861313149459473,0.004350263365036986
169,P68106,P42768,0.3308999866205006,0.20470518652394598,0.007110539300107316,0.009544152078145218
170,P98082,P36897,0.4294432591782468,0.28756559938967663,0.32087385714499694,0.3200158260576595
171,P98082,Q13526,0.41897084998120115,0.2590488169526215,0.3262293403817166,0.32625165224576136
172,Q00535,Q00535,0.8167510109665459,0.6067906523002443,0.40259187825470555,0.41278537853648367
173,Q00535,Q13153,0.49220369437096323,0.31956349904209824,0.3143748260373275,0.315494130681752
174,Q02880,P11388,0.6657521807652304,0.4268711953708201,0.5064656021398474,0.5229496564059598
175,Q02880,Q13547,0.4176449941419499,0.24786713482030837,0.005657971945847212,0.008584210969142015
176,Q03167,Q03167,0.8649467613767096,0.6518816687878718,0.36464525620554555,0.3698756497311043
177,Q03167,Q8NI60,0.23711334259428457,0.13282992799258297,0.26781185928938667,0.26806379497286054
178,Q04206,O15379,0.4445081728348097,0.269996227285048,0.13156711997149484,0.14930194188945098
179,Q04206,P04083,0.4520846203925837,0.2822826927680868,0.11999989136691744,0.13066337388899688
180,Q04771,P17813,0.4942749552702662,0.34848744304139295,0.32283742401009613,0.32456896881176844
181,Q04771,P62942,0.3385627591743229,0.23716226129165302,0.3163727761238857,0.31499218407215884
182,Q04771,Q14194,0.27697691177770156,0.16318293336192624,0.0025284468874946465,0.0034352351270268647
183,Q04771,Q15836,0.29134827809100783,0.157130031390813,0.3133658232546281,0.31110855318847347
184,Q05586,P02647,0.39344475813951185,0.2621844534002599,0.01395907825346266,0.017387510632758597
185,Q05586,Q12879,0.7026485358141106,0.4808743062811569,0.34977690001112177,0.35403869133692745
186,Q07666,P51531,0.3853939595216702,0.20644826809682001,0.11455544014793381,0.1386470829448018
187,Q12824,P24928,0.38369524220554846,0.2334400843133595,0.00788071049609986,0.010664674022246726
188,Q12824,P51531,0.5531468917152054,0.3379132854129937,0.15051468971636442,0.18628126184954952
189,Q12824,Q99816,0.4034779113466942,0.2483908621994969,0.010673623825719493,0.013706862383121925
190,Q12879,Q12959,0.4328645869647402,0.28025740582097464,0.30758863383129087,0.30610420974409724
191,Q12879,Q13459,0.273237339572381,0.14115179649505885,0.3156784131393383,0.3128761738392349
192,Q13153,P04049,0.4992494167186742,0.31168689881045036,0.32216287936876725,0.3236847489915252
193,Q13153,Q99959,0.39035049051786774,0.24065441378549973,0.30819396072638533,0.3062045418245042
194,Q13216,Q03468,0.5095328143306346,0.3530129976826007,0.3244860643816651,0.323545728430155
195,Q13315,P00519,0.5000470582926462,0.34385308746157295,0.30554833528810893,0.30657801137491325
196,Q13315,Q96B26,0.35779685514455273,0.23258508933849675,0.00583768594818581,0.007684152079460974
197,Q13426,Q8NFT6,0.285371644519109,0.13811413209615409,0.002691848312684782,0.005398424061099935
198,Q13459,O95292,0.2942231692897752,0.14174626081553507,0.32740096240037436,0.3269317248898213
199,Q13492,P35638,0.36466327089188943,0.2218382442885657,0.010637445977825021,0.014519628927007045
200,Q13510,P62826,0.28821262754782984,0.17363342087215106,0.003273359096465706,0.004518696295996098
201,Q13526,P11388,0.35638504970133456,0.19813815641697796,0.010334644657843749,0.0146646625206353
202,Q13526,P24928,0.3135615380775548,0.17529334666024232,0.3186079027398259,0.3175922362332804
203,Q13526,P36894,0.33010883932057145,0.22325443065765843,0.3153385082455862,0.31447416969754044
204,Q13547,P11388,0.39629714114730563,0.2316020010746611,0.009580319465562034,0.013901368279487363
205,Q13547,Q04206,0.48213116415644724,0.3143903677221299,0.023790186307350483,0.03135979230141854
206,Q13868,Q5RKV6,0.7222005947927873,0.5268733041760382,0.3910099245350005,0.4118200104711767
207,Q13868,Q96B26,0.7134963697103087,0.5141676157743829,0.5615360694160769,0.5786657466666618
208,Q13868,Q9NPD3,0.7125118530677044,0.5084126553416246,0.023244709917504772,0.026153474226138958
209,Q13873,P12644,0.5080929930183047,0.3771166675149644,0.3071384115544804,0.3084025218603686
210,Q13873,P36894,0.5618351650634634,0.40847318503827723,0.32607215310913523,0.330291241340124
211,Q13873,Q13873,0.8703346662905996,0.6524919896236084,0.3816969812956352,0.39008085147685323
212,Q13976,P04049,0.4507890023822968,0.25814386330735273,0.006890313871118758,0.010449589407643787
213,Q14194,P20042,0.25858678696885234,0.12057764169818092,0.018917708793448524,0.03178231776286066
214,Q14203,Q9H1J1,0.31089697545840334,0.15720158351559554,0.31512531990117043,0.3135257259591027
215,Q14451,P21860,0.36339691591548606,0.20538714134299157,0.005315256187578213,0.007510242462707138
216,Q15020,Q15287,0.5086116287867921,0.304040137218412,0.0069970398237239415,0.009432278725567782
217,Q15024,Q5RKV6,0.7545283972917775,0.565738397775428,0.018493028999722886,0.020690939777107554
218,Q15024,Q96B26,0.7426842446870063,0.5729653137403569,0.023699461881804877,0.025721083539904974
219,Q15024,Q9NPD3,0.7239412860738879,0.5330114920294587,0.34083823935144314,0.3419572229800792
220,Q15256,O15164,0.31943706680461736,0.17285992045094328,0.00739376408626482,0.008994037249777412
221,Q15542,P21675,0.548640547563953,0.3462261112027011,0.015159523292228427,0.019027704136130367
222,Q15759,O15379,0.3728430228534272,0.2145406088922492,0.010802416337239025,0.014433084418175385
223,Q15836,P15498,0.2966212141384629,0.14901034097240967,0.31716856168858604,0.31555474638556125
224,Q16539,P35638,0.44638272618422875,0.28125046100544393,0.01488229054690707,0.019711286162719503
225,Q16555,P36894,0.30969613473324753,0.18388262693633994,0.003381110877844701,0.004717718179778362
226,Q16555,Q14194,0.5735150575851433,0.36099889166954735,0.33295643843806777,0.3331883191721268
227,Q30201,P02786,0.4740197606115318,0.29330222322191535,0.011090848324010926,0.014145000344280427
228,Q49AN0,Q9UNS1,0.37664491535613903,0.2297349606045474,0.005434944243578809,0.00793902673993139
229,Q53EZ4,Q8WUM4,0.43450627285544585,0.26199073513119975,0.32615016619640147,0.32585937618369076
230,Q53EZ4,Q99816,0.3382836716610952,0.18963824570150006,0.31043474050595,0.30961428179247164
231,Q5T7P8,O75381,0.29058980655064437,0.14485854616248067,0.004447651257313577,0.006500341866765901
232,Q6IE81,O95251,0.5208903873594328,0.32786453739774307,0.2816844094559526,0.29454107650461964
233,Q6P1X5,P21675,0.4754470217389126,0.3088966475881348,0.3207677202663109,0.32126827243132244
234,Q7RTN6,Q9NZ43,0.2133389322528369,0.11872469296163732,0.002116172202223074,0.0030303041934291665
235,Q7Z3Z4,Q9UPY3,0.38310526866986006,0.24852879144785966,0.005887062058261993,0.007481825073093876
236,Q86YJ6,Q9NYB0,0.2205137067650501,0.12644221120653476,0.0017303608643481742,0.0024211552421416205
237,Q86YL7,O75674,0.3139634128941235,0.1524544138535109,0.002888082588000423,0.004414877059821195
238,Q8IXQ6,O95153,0.28926639337091975,0.1397253139573462,0.029364090661823116,0.04343768819170586
239,Q8N6T7,Q8WZ19,0.32819728151143013,0.19092554701158182,0.03895900632933981,0.04750352801747583
240,Q8NA61,Q04206,0.0886646692516734,0.039535137623626565,0.005227023404032225,0.007391785921060661
241,Q8NHH9,Q9H0F7,0.3452661576195154,0.18365545061348681,0.0049418514077668755,0.007841521553436027
242,Q8NHL6,P36897,0.36956930940201727,0.26147480611774165,0.30556661258461937,0.30411108230701617
243,Q8NI60,P36404,0.2757610178413018,0.12341404050575701,0.0015844903867863543,0.003061384858932425
244,Q8TEU7,P10114,0.429550433229801,0.2474196245627881,0.006106361976499352,0.008679167993534073
245,Q8TEY7,Q16620,0.3436530126871399,0.20578209991328728,0.31708851604558674,0.31446056877080625
246,Q8WUM4,Q99741,0.29564652350709364,0.16132456140625762,0.002291914100705338,0.0034401094439432023
247,Q8WZ19,O95251,0.3395150092620969,0.19916344824729876,0.06767201729639133,0.07791601062617286
248,Q92609,P04049,0.33728253046671075,0.18643544513115134,0.3188588378462413,0.3173967744811938
249,Q92611,P27824,0.42937206696722585,0.2431429206394773,0.323704345410737,0.32279966248533676
250,Q92738,Q16620,0.31633525568189624,0.17916836238083028,0.003951872033634328,0.006193590532878385
251,Q92804,Q15542,0.5266875278228644,0.2723001332419536,0.283179062300632,0.30895851334560936
252,Q92804,Q99741,0.46210743179402636,0.24012140338853932,0.13611334870294498,0.15982049957725983
253,Q92889,P51587,0.4909210884102967,0.3315500969844567,0.011035350624936541,0.014542333719004959
254,Q969S8,O15379,0.5195215611804977,0.3583292347659676,0.1830570857165839,0.20456001565437018
255,Q969S8,P24928,0.3813218738846992,0.23042958309457773,0.005994389230993587,0.008755538239139124
256,Q96B26,O75674,0.38336742165363613,0.18860625621021315,0.03696845806800652,0.050836621898874314
257,Q96B26,Q5RKV6,0.7282527942644159,0.5417026899478949,0.3711109598522116,0.3844763556664157
258,Q96F07,Q9HA65,0.2728930110678829,0.12655596118315204,0.0016491649582751362,0.002867271469151222
259,Q96FG2,Q8N8Q3,0.13549153293455457,0.06903776164491389,0.0005417732400311006,0.0011024964970222176
260,Q96HU1,P04629,0.3117034614356361,0.18206712589739701,0.316144765762518,0.31364182531038054
261,Q96JB5,Q14194,0.3648291895860363,0.19510497251952363,0.06489828458864813,0.08117312839431458
262,Q96JB5,Q99959,0.3134583319452694,0.17603800948010007,0.005382607719905003,0.007758555406171806
263,Q96RU7,Q04206,0.47391795746055193,0.2890145939864457,0.013471319302814954,0.01824206212940197
264,Q96RU8,P18054,0.2867024161722179,0.20061311992292905,0.005898664620905772,0.007541915522602993
265,Q99497,Q99497,0.8630316744993338,0.6792338157179022,0.7016790506619741,0.7222238815892612
266,Q99741,P49736,0.49159176154864864,0.29101944211383557,0.009243295217100956,0.013532908589362238
267,Q99741,P50750,0.40838404266161044,0.2550372049682108,0.01360624663718634,0.018102857014332858
268,Q99816,Q8WUM4,0.49151234299326785,0.3121893151575326,0.31421817629175613,0.315310854061835
269,Q99959,P14923,0.5728213932700803,0.37790350838587217,0.3333040346465766,0.33411769159272087
270,Q9BSI4,P50750,0.337720295590928,0.2110307532008701,0.24139593929109854,0.245154896745794
271,Q9BSI4,Q9NUX5,0.6761778664397173,0.5073475104004579,0.2983346851258277,0.3001734987725332
272,Q9BSI4,Q9NYB0,0.6164262945607205,0.45165141334697256,0.29640369188565785,0.29754372446834865
273,Q9BUQ8,O15247,0.2112220527336849,0.1085051619305099,0.000733086361273141,0.0015735103622498926
274,Q9BV40,P63027,0.5070709165380344,0.3224351747842197,0.3222531875810511,0.32299599969544546
275,Q9BXI6,O14745,0.40558605456662267,0.2351053028789347,0.31213626067292116,0.3122345256640372
276,Q9GZM7,Q13868,0.21368518869143283,0.09618571101353562,0.0006066234914354511,0.0012369342678720558
277,Q9H4Z3,P24928,0.3698322786937174,0.22153423486535723,0.0050307234086479306,0.00655763747151989
278,Q9H8T0,Q12824,0.25188178962398206,0.15445875735921866,0.004277843088654577,0.005826689133390061
279,Q9H9C1,Q9H267,0.5796057351484687,0.3852073861691684,0.33384073648152857,0.33428120171042897
280,Q9HA65,P62820,0.40073958736536747,0.22514169733410452,0.3219840103929849,0.3208783239010856
281,Q9HAF1,Q14194,0.23265478367577627,0.13490432399798774,0.0018586561810818964,0.0027633758952706885
282,Q9NPD3,Q5RKV6,0.7449987419588333,0.5440084710990382,0.020855133813793197,0.023098305724790612
283,Q9NPD3,Q96B26,0.680080657389641,0.4914815230963381,0.019724189196431045,0.022544986555034622
284,Q9NPD3,Q9NQT5,0.7512746042771579,0.5373360239304578,0.33904717848475185,0.34086130519891844
285,Q9NQT4,Q13868,0.6995503127813456,0.5033903382193123,0.022058051149417186,0.024485935835007997
286,Q9NQT4,Q15024,0.7399298998411035,0.5456318485775317,0.34204225064944743,0.34345102847450076
287,Q9NQT4,Q5RKV6,0.7629406202552611,0.559158843651043,0.020772914845800555,0.023014535511900594
288,Q9NQT4,Q96B26,0.6667742235136422,0.48805976797036815,0.01854806100366697,0.020814347941142754
289,Q9NQT4,Q9NPD3,0.7856458150605061,0.5620516375011029,0.3469327405477175,0.3487450023907746
